Date Submitted,Workout Date,Activity Type,Calories Burned (kCal),Distance (km),Workout Time (seconds),Avg Pace (min/km),Max Pace (min/km),Avg Speed (km/h),Max Speed (km/h),Avg Heart Rate,Steps,Notes,Source
"Oct. 5, 2023","Oct. 5, 2023",Run,283,4.01207849856,1062,4.41167954147777,2.35129965998568,13.60026036864,25.517758464,,3001,b'',Map My Fitness MapMyRun Android
"Oct. 5, 2023","Oct. 5, 2023",Bike Ride,190,6.30140252544,1224,3.23737498011612,1.64170618587449,18.5335273728,36.547397568,,,b'',Map My Fitness MapMyRun Android
"Oct. 5, 2023","Oct. 5, 2023",Bike Ride,171,5.58612958464,934,2.78666338582677,1.66469691998727,21.5310915072,36.0427072896,,,b'',Map My Fitness MapMyRun Android
"Oct. 4, 2023","Oct. 4, 2023",Bike Ride,277,9.19405352448,1673,3.03275744651237,1.55488820289509,19.7839876608,38.58804576,,,b'',Map My Fitness MapMyRun Android
"Oct. 4, 2023","Oct. 4, 2023",Bike Ride,167,5.50039982976,935,2.83312952358228,1.8128442396405,21.1780014336,33.0971249664,,,b'',Map My Fitness MapMyRun Android
"Oct. 3, 2023","Oct. 3, 2023",Bike Ride,173,7.96449861504,1981,4.14547790901137,1.46862324027678,14.47360307712,40.8546458496,,,b'',Map My Fitness MapMyRun Android
"Oct. 3, 2023","Oct. 3, 2023",Bike Ride,175,5.6195073792,917,2.71969199872743,1.78350309194305,22.0613703552,33.6415660416,,,b'',Map My Fitness MapMyRun Android
"Oct. 2, 2023","Oct. 2, 2023",Bike Ride,265,8.75365653888,1776,3.38144610474827,1.8699731070548,17.743822272,32.0859741312,,,b'',Map My Fitness MapMyRun Android
"Oct. 2, 2023","Oct. 2, 2023",Bike Ride,142,4.69780388352,856,3.0368771375169,1.70813076632466,19.757111616,35.1260249472,,,b'',Map My Fitness MapMyRun Android
"Oct. 1, 2023","Oct. 1, 2023",Run,281,4.0168421568,1043,4.32761423287998,1.71018129125905,13.86445027968,35.0840210688,,3416,b'',Map My Fitness MapMyRun Android
"Oct. 1, 2023","Oct. 1, 2023",Walk,210,3.07254347136,1535,8.3264361130995,2.92862806211724,7.20596650752,20.4874319232,,3164,b'',Map My Fitness MapMyRun Android
"Sept. 28, 2023","Sept. 28, 2023",Bike Ride,194,6.44371681536,1136,2.93825931559691,1.70736026604629,20.420161344,35.1419574528,,,b'',Map My Fitness MapMyRun Android
"Sept. 28, 2023","Sept. 28, 2023",Bike Ride,170,5.65351281792,989,2.91558548079217,1.73508584864392,20.5790035968,34.5804573312,,,b'',Map My Fitness MapMyRun Android
"Sept. 27, 2023","Sept. 27, 2023",Bike Ride,173,8.46347572224,1975,3.88925549789231,1.52992772210292,15.42710721024,39.2176211328,,,b'',Map My Fitness MapMyRun Android
"Sept. 27, 2023","Sept. 27, 2023",Bike Ride,186,6.13169720064,1043,2.83499363715899,1.79747151634455,21.1640001408,33.380208576,,,b'',Map My Fitness MapMyRun Android
"Sept. 26, 2023","Sept. 26, 2023",Run,280,4.00544800128,1043,4.33991738248628,2.00279119939553,13.8251500992,29.9582604288,,2954,b'',Map My Fitness MapMyRun Android
"Sept. 26, 2023","Sept. 26, 2023",Bike Ride,175,5.7909025152,1089,3.1342211484928,1.85074788236698,19.1434687488,32.4192692736,,,b'',Map My Fitness MapMyRun Android
"Sept. 26, 2023","Sept. 26, 2023",Bike Ride,174,5.78629979136,1014,2.92069315199236,1.32556495068798,20.5431152256,45.2637656064,,,b'',Map My Fitness MapMyRun Android
"Sept. 25, 2023","Sept. 25, 2023",Bike Ride,179,7.83398081664,1492,4.34265762944405,1.77654373458999,13.81641136128,33.7733713152,,,b'',Map My Fitness MapMyRun Android
"Sept. 25, 2023","Sept. 25, 2023",Bike Ride,165,5.46431833728,990,3.01958437723694,1.9319051737851,19.8702484992,31.0574423808,,,b'',Map My Fitness MapMyRun Android
"Sept. 24, 2023","Sept. 24, 2023",Walk,259,4.00684813056,2120,8.81825141175535,3.79015300644238,6.80408112384,15.83048928384,,4314,b'',Map My Fitness MapMyRun Android
"Sept. 21, 2023","Sept. 21, 2023",Run,281,4.01151522816,1047,4.34997116837668,1.76658315437843,13.79318852736,33.9639176448,,2944,b'',Map My Fitness MapMyRun Android
"Sept. 21, 2023","Sept. 21, 2023",Bike Ride,183,6.06236666112,1160,3.18906958363159,1.51289593772369,18.8141969664,39.659064192,,,b'',Map My Fitness MapMyRun Android
"Sept. 21, 2023","Sept. 21, 2023",Bike Ride,168,5.57842082688,959,2.86521091823749,2.01959929014555,20.9409450624,29.7088121088,,,b'',Map My Fitness MapMyRun Android
"Sept. 20, 2023","Sept. 20, 2023",Bike Ride,104,3.44991854592,639,3.08702179273045,1.77223141851587,19.4362084224,33.8556087936,,,b'',Map My Fitness MapMyRun Android
"Sept. 20, 2023","Sept. 20, 2023",Bike Ride,174,5.76927293184,1077,3.11131119263501,1.66938827248867,19.2844472832,35.9413186176,,,b'',Map My Fitness MapMyRun Android
"Sept. 17, 2023","Sept. 17, 2023",Run,282,4.0086345024,1054,4.38221411954188,2.22385021474588,13.69171938816,26.9801693568,,3017,b'',Map My Fitness MapMyRun Android
"Sept. 15, 2023","Sept. 15, 2023",Bike Ride,191,6.31799486208,1209,3.18930570468464,1.86615788793446,18.8129094912,32.1516353664,,,b'',Map My Fitness MapMyRun Android
"Sept. 15, 2023","Sept. 15, 2023",Bike Ride,167,5.53736646144,1093,3.28976899904557,1.71824047562237,18.2383736832,34.9193851776,,,b'',Map My Fitness MapMyRun Android
"Sept. 14, 2023","Sept. 14, 2023",Run,284,4.00610783232,1077,4.48066417123996,1.99841053249026,13.3908686208,30.0237607296,,3057,b'',Map My Fitness MapMyRun Android
"Sept. 14, 2023","Sept. 14, 2023",Bike Ride,229,7.57479596544,1482,3.26081310148731,1.6367911397439,18.4002736896,36.6569938944,,,b'',Map My Fitness MapMyRun Android
"Sept. 14, 2023","Sept. 14, 2023",Bike Ride,175,5.79167500032,1037,2.98416621927941,1.73408544102442,20.1061783296,34.6004131968,,,b'',Map My Fitness MapMyRun Android
"Sept. 12, 2023","Sept. 12, 2023",Bike Ride,184,6.09566398848,1174,3.209929014555,1.68943992086216,18.6920477568,35.5146815232,,,b'',Map My Fitness MapMyRun Android
"Sept. 12, 2023","Sept. 12, 2023",Bike Ride,174,5.77717481088,1058,3.05224364710093,1.88936610196453,19.6576541568,31.7567023488,,,b'',Map My Fitness MapMyRun Android
"Sept. 11, 2023","Sept. 11, 2023",Bike Ride,118,5.74316937216,1274,3.69713995267637,1.60900342002704,16.2287858304,37.290109824,,,b'',Map My Fitness MapMyRun Android
"Sept. 11, 2023","Sept. 11, 2023",Run,285,4.01001853824,1080,4.48876063787481,2.09196417919351,13.3667284608,28.6812459648,,3098,b'',Map My Fitness MapMyRun Android
"Sept. 11, 2023","Sept. 11, 2023",Bike Ride,161,5.8764391488,1226,3.47716212320051,1.87107914777698,17.255386368,32.066983872,,,b'',Map My Fitness MapMyRun Android
"Sept. 10, 2023","Sept. 10, 2023",Bike Ride,267,8.84434307328,1763,3.32227292611151,1.45406451324266,18.0598974336,41.26358016,,,b'',Map My Fitness MapMyRun Android
"Sept. 10, 2023","Sept. 10, 2023",Walk,49,0.77058609408,416,8.9974548635966,4.13720745844269,6.66852607872,14.50253908224,,830,b'',Map My Fitness MapMyRun Android
"Sept. 8, 2023","Sept. 8, 2023",Bike Ride,83,2.74949985024,475,2.87930361687744,2.0364446631671,20.8384298496,29.46306528,,,b'',Map My Fitness MapMyRun Android
"Sept. 8, 2023","Sept. 8, 2023",Bike Ride,110,3.64165579008,669,3.06179412232562,1.5888834208224,19.5963381504,37.762452288,,,b'',Map My Fitness MapMyRun Android
"Sept. 7, 2023","Sept. 7, 2023",Bike Ride,255,10.49786356608,2254,3.5785015509425,1.71783037063549,16.7667895296,34.9277537664,,,b'',Map My Fitness MapMyRun Android
"Sept. 7, 2023","Sept. 7, 2023",Run,281,4.00665500928,1048,4.35941601049869,1.92822044261513,13.76330300928,31.1168271744,,3093,b'',Map My Fitness MapMyRun Android
"Sept. 7, 2023","Sept. 7, 2023",Bike Ride,174,5.75063672832,1141,3.30688156167979,1.90211042511731,18.1439051904,31.543947072,,,b'',Map My Fitness MapMyRun Android
"Sept. 6, 2023","Sept. 6, 2023",Bike Ride,182,6.03186959232,1066,2.94546722142687,1.73841018452239,20.37027168,34.5143132928,,,b'',Map My Fitness MapMyRun Android
"Sept. 5, 2023","Sept. 5, 2023",Run,38,0.512296038144,151,4.91251714984491,2.61346859341446,12.21369785856,22.9579358976,,413,b'',Map My Fitness MapMyRun Android
"Sept. 5, 2023","Sept. 5, 2023",Run,70,0.997619470848,240,4.00954674699753,2.11860857591665,14.96427596928,28.32043104,,702,b'',Map My Fitness MapMyRun Android
"Sept. 5, 2023","Sept. 5, 2023",Bike Ride,80,2.65522447872,500,3.13845890002386,1.85345084705321,19.1177192448,32.3721154944,,,b'',Map My Fitness MapMyRun Android
"Sept. 3, 2023","Sept. 3, 2023",Bike Ride,137,5.08707201024,1068,3.4990716714388,1.85707344110395,17.1473993856,32.3088682752,,,b'',Map My Fitness MapMyRun Android
"Sept. 3, 2023","Sept. 3, 2023",Bike Ride,156,5.16000748032,992,3.205125815239,1.52480762347888,18.7200503424,39.349265472,,14,b'',Map My Fitness MapMyRun Android
"Sept. 3, 2023","Sept. 3, 2023",Bike Ride,156,5.16000748032,992,3.205125815239,1.52480762347888,18.7200503424,39.349265472,,14,b'',Map My Fitness MapMyRun Android
"Sept. 3, 2023","Sept. 3, 2023",Run,131,1.61080850304,632,6.53918615286726,3.52096879225324,9.17548169472,17.0406998784,,1752,b'',Map My Fitness MapMyRun Android
"Sept. 3, 2023","Sept. 3, 2023",Run,248,3.52187231616,933,4.41525863954506,2.3133400938519,13.58923636224,25.9365097728,,2710,b'',Map My Fitness MapMyRun Android
"Sept. 1, 2023","Sept. 1, 2023",Bike Ride,1177,38.9206971648,7785,3.33369372862483,1.14616266006522,17.998098624,52.3485806976,,,b'',Map My Fitness MapMyRun Android
"Aug. 31, 2023","Aug. 31, 2023",Bike Ride,216,7.13755329408,1435,3.35082493239481,1.68445652390042,17.9060441472,35.6199326208,,,b'',Map My Fitness MapMyRun Android
